=== SHOW GLOBAL VARIABLES ===
Variable_name	Value
tidb_enable_reuse_chunk	ON
tidb_enable_row_level_checksum	OFF
tidb_enable_shared_lock_promotion	OFF
tidb_enable_slow_log	ON
tidb_enable_stats_owner	ON
tidb_enable_stmt_summary	ON
tidb_enable_strict_double_type_check	ON
tidb_enable_table_partition	ON
tidb_enable_telemetry	OFF
tidb_enable_tiflash_pipeline_model	ON
tidb_enable_tiflash_read_for_write_stmt	ON
tidb_enable_tmp_storage_on_oom	ON
tidb_enable_top_sql	OFF
tidb_enable_tso_follower_proxy	OFF
tidb_enable_unsafe_substitute	OFF
tidb_enable_vectorized_expression	ON
tidb_enable_window_function	ON
tidb_evolve_plan_baselines	OFF
tidb_evolve_plan_task_end_time	23:59 +0000
tidb_evolve_plan_task_max_time	600
tidb_evolve_plan_task_start_time	00:00 +0000
tidb_executor_concurrency	5
tidb_expensive_query_time_threshold	60
tidb_expensive_txn_time_threshold	600
tidb_external_ts	0
tidb_force_priority	NO_PRIORITY
tidb_gc_concurrency	-1
tidb_gc_enable	ON
tidb_gc_life_time	10m0s
tidb_gc_max_wait_time	86400
tidb_gc_run_interval	10m0s
tidb_gc_scan_lock_mode	LEGACY
tidb_general_log	OFF
tidb_generate_binary_plan	ON
tidb_gogc_tuner_max_value	500
tidb_gogc_tuner_min_value	100
tidb_gogc_tuner_threshold	0.6
tidb_guarantee_linearizability	ON
tidb_hash_exchange_with_new_collation	ON
tidb_hash_join_concurrency	-1
tidb_hash_join_version	legacy
tidb_hashagg_final_concurrency	-1
tidb_hashagg_partial_concurrency	-1
tidb_historical_stats_duration	168h0m0s
tidb_idle_transaction_timeout	0
tidb_ignore_inlist_plan_digest	OFF
tidb_ignore_prepared_cache_close_stmt	OFF
tidb_index_join_batch_size	25000
tidb_index_join_double_read_penalty_cost_rate	0
tidb_index_lookup_concurrency	-1
tidb_index_lookup_join_concurrency	-1
tidb_index_lookup_size	20000
tidb_index_merge_intersection_concurrency	-1
tidb_index_serial_scan_concurrency	1
tidb_init_chunk_size	32
tidb_instance_plan_cache_max_size	104857600
tidb_instance_plan_cache_reserved_percentage	0.1
tidb_load_based_replica_read_threshold	1s
tidb_load_binding_timeout	200
tidb_lock_unchanged_keys	ON
tidb_log_file_max_days	0
tidb_low_resolution_tso	OFF
tidb_low_resolution_tso_update_interval	2000
tidb_max_auto_analyze_time	43200
tidb_max_bytes_before_tiflash_external_group_by	-1
tidb_max_bytes_before_tiflash_external_join	-1
tidb_max_bytes_before_tiflash_external_sort	-1
tidb_max_chunk_size	1024
tidb_max_delta_schema_count	1024
tidb_max_paging_size	50000
tidb_max_tiflash_threads	-1
tidb_mem_oom_action	CANCEL
tidb_mem_quota_analyze	-1
tidb_mem_quota_apply_cache	33554432
tidb_mem_quota_binding_cache	67108864
tidb_mem_quota_query	1073741824
tidb_memory_usage_alarm_keep_record_num	5
tidb_memory_usage_alarm_ratio	0.7
tidb_merge_join_concurrency	1
tidb_merge_partition_stats_concurrency	1
tidb_min_paging_size	128
tidb_mpp_store_fail_ttl	60s
tidb_multi_statement_mode	OFF
tidb_non_prepared_plan_cache_size	100
tidb_nontransactional_ignore_error	OFF
tidb_opt_advanced_join_hint	ON
tidb_opt_agg_push_down	OFF
tidb_opt_broadcast_cartesian_join	1
tidb_opt_concurrency_factor	3
tidb_opt_copcpu_factor	3
tidb_opt_correlation_exp_factor	1
tidb_opt_correlation_threshold	0.9
tidb_opt_cpu_factor	3
tidb_opt_derive_topn	OFF
tidb_opt_desc_factor	3
tidb_opt_disk_factor	1.5
tidb_opt_enable_correlation_adjustment	ON
tidb_opt_enable_fuzzy_binding	OFF
tidb_opt_enable_hash_join	ON
tidb_opt_enable_late_materialization	ON
tidb_opt_enable_mpp_shared_cte_execution	OFF
tidb_opt_enable_non_eval_scalar_subquery	OFF
tidb_opt_enable_three_stage_multi_distinct_agg	OFF
tidb_opt_fix_control	
tidb_opt_force_inline_cte	OFF
tidb_opt_insubq_to_join_and_agg	ON
tidb_opt_join_reorder_threshold	0
tidb_opt_limit_push_down_threshold	100
tidb_opt_memory_factor	0.001
tidb_opt_mpp_outer_join_fixed_build_side	OFF
tidb_opt_network_factor	1
tidb_opt_objective	moderate
tidb_opt_ordering_index_selectivity_ratio	-1
tidb_opt_ordering_index_selectivity_threshold	0
tidb_opt_prefer_range_scan	ON
tidb_opt_prefix_index_single_scan	ON
tidb_opt_projection_push_down	ON
tidb_opt_range_max_size	67108864
tidb_opt_scan_factor	1.5
tidb_opt_seek_factor	20
tidb_opt_skew_distinct_agg	OFF
tidb_opt_three_stage_distinct_agg	ON
tidb_opt_tiflash_concurrency_factor	24
tidb_partition_prune_mode	dynamic
tidb_persist_analyze_options	ON
tidb_pessimistic_txn_fair_locking	ON
tidb_placement_mode	STRICT
tidb_plan_cache_invalidation_on_fresh_stats	ON
tidb_plan_cache_max_plan_size	2097152
tidb_pprof_sql_cpu	0
tidb_pre_split_regions	0
tidb_prefer_broadcast_join_by_exchange_data_size	OFF
tidb_prepared_plan_cache_memory_guard_ratio	0.1
tidb_prepared_plan_cache_size	100
tidb_projection_concurrency	-1
tidb_query_log_max_len	4096
tidb_rc_read_check_ts	OFF
tidb_rc_write_check_ts	OFF
tidb_record_plan_in_slow_log	ON
tidb_redact_log	OFF
tidb_regard_null_as_point	ON
tidb_remove_orderby_in_subquery	ON
tidb_replica_read	leader
tidb_resource_control_strict_mode	ON
tidb_restricted_read_only	OFF
tidb_retry_limit	10
tidb_row_format_version	2
tidb_runtime_filter_mode	OFF
tidb_runtime_filter_type	IN
tidb_scatter_region	
tidb_schema_cache_size	536870912
tidb_schema_version_cache_limit	16
tidb_server_memory_limit	80%
tidb_server_memory_limit_gc_trigger	0.7
tidb_server_memory_limit_sess_min_size	134217728
tidb_service_scope	
tidb_session_plan_cache_size	100
tidb_shard_allocate_step	9223372036854775807
tidb_shard_row_id_bits	0
tidb_simplified_metrics	OFF
tidb_skip_ascii_check	OFF
tidb_skip_isolation_level_check	OFF
tidb_skip_missing_partition_stats	ON
tidb_skip_utf8_check	OFF
tidb_slow_log_threshold	300
tidb_source_id	1
tidb_stats_cache_mem_quota	0
tidb_stats_load_pseudo_timeout	ON
tidb_stats_load_sync_wait	100
tidb_stmt_summary_enable_persistent	OFF
tidb_stmt_summary_file_max_backups	0
tidb_stmt_summary_file_max_days	3
tidb_stmt_summary_file_max_size	64
tidb_stmt_summary_filename	tidb-statements.log
tidb_stmt_summary_history_size	24
tidb_stmt_summary_internal_query	OFF
tidb_stmt_summary_max_sql_length	4096
tidb_stmt_summary_max_stmt_count	3000
tidb_stmt_summary_refresh_interval	1800
tidb_store_batch_size	4
tidb_store_limit	0
tidb_streamagg_concurrency	1
tidb_super_read_only	OFF
tidb_sysdate_is_now	OFF
tidb_sysproc_scan_concurrency	1
tidb_table_cache_lease	3
tidb_tmp_table_max_size	67108864
tidb_top_sql_max_meta_count	5000
tidb_top_sql_max_time_series_count	100
tidb_track_aggregate_memory_usage	ON
tidb_tso_client_batch_max_wait_time	0
tidb_tso_client_rpc_mode	DEFAULT
tidb_ttl_delete_batch_size	100
tidb_ttl_delete_rate_limit	0
tidb_ttl_delete_worker_count	4
tidb_ttl_job_enable	ON
tidb_ttl_job_schedule_window_end_time	23:59 +0000
tidb_ttl_job_schedule_window_start_time	00:00 +0000
tidb_ttl_running_tasks	-1
tidb_ttl_scan_batch_size	500
tidb_ttl_scan_worker_count	4
tidb_txn_assertion_level	FAST
tidb_txn_commit_batch_size	16384
tidb_txn_entry_size_limit	0
tidb_txn_mode	pessimistic
tidb_use_plan_baselines	ON
tidb_window_concurrency	-1
tiflash_compute_dispatch_policy	consistent_hash
tiflash_fastscan	OFF
tiflash_fine_grained_shuffle_batch_size	8192
tiflash_fine_grained_shuffle_stream_count	0
tiflash_hashagg_preaggregation_mode	force_preagg
tiflash_mem_quota_query_per_node	0
tiflash_query_spill_ratio	0.7
tiflash_replica_read	all_replicas
tikv_client_read_timeout	0
time_format	%H:%i:%s
time_zone	SYSTEM
tls_version	TLSv1,TLSv1.1,TLSv1.2
tmp_table_size	16777216
tmpdir	/var/tmp/
transaction_alloc_block_size	8192
transaction_isolation	REPEATABLE-READ
transaction_prealloc_size	4096
transaction_read_only	OFF
transaction_write_set_extraction	
tx_isolation	REPEATABLE-READ
tx_read_only	OFF
unique_checks	ON
updatable_views_with_limit	YES
validate_password.check_user_name	ON
validate_password.dictionary	
validate_password.enable	OFF
validate_password.length	8
validate_password.mixed_case_count	1
validate_password.number_count	1
validate_password.policy	MEDIUM
validate_password.special_char_count	1
version	8.0.11-TiDB-v8.5.2
version_comment	TiDB Server (Apache License 2.0) Community Edition, MySQL 8.0 compatible
version_compile_machine	amd64
version_compile_os	linux
wait_timeout	28800
windowing_use_high_precision	ON

=== tiup cluster show-config tpcc-tidb ===

Error: tidb cluster `tpcc-tidb` not exists

Verbose debug logs has been written to /root/.tiup/logs/tiup-cluster-debug-2026-06-20-22-09-33.log.
