variable	value	setting_type	public	description	default_value	origin
sql.hash_sharded_range_pre_split.max	16	i	t	max pre-split ranges to have when adding hash sharded index to an existing table	16	default
sql.hints.statement_hints_cache_size	1024	i	f	number of hint entries to store in the LRU	1024	default
sql.history_retention_job.poll_interval	1m0s	d	f	controls how frequently the history retention job checks if the PTS record should be released	1m0s	default
sql.index_recommendation.drop_unused_duration	168h0m0s	d	t	the index unused duration at which we begin to recommend dropping the index	168h0m0s	default
sql.insights.anomaly_detection.enabled	true	b	t	enable per-fingerprint latency recording and anomaly detection	true	default
sql.insights.anomaly_detection.latency_threshold	50ms	d	t	statements must surpass this threshold to trigger anomaly detection and identification	50ms	default
sql.insights.anomaly_detection.memory_limit	1.0 MiB	z	t	the maximum amount of memory allowed for tracking statement latencies	1.0 MiB	default
sql.insights.execution_insights_capacity	1000	i	t	the size of the per-node store of execution insights	1000	default
sql.insights.high_retry_count.threshold	10	i	t	the number of retries a slow statement must have undergone for its high retry count to be highlighted as a potential problem	10	default
sql.insights.latency_threshold	100ms	d	t	amount of time after which an executing statement is considered slow. Use 0 to disable.	100ms	default
sql.inspect.admission_control.enabled	true	b	f	when enabled, INSPECT operations are throttled to minimize impact on foreground query performance; when disabled, INSPECT runs faster but may slow down foreground queries	true	default
sql.inspect.checkpoint_interval	30s	d	f	the amount of time between INSPECT job checkpoint updates	30s	default
sql.inspect.fraction_update_interval	10s	d	f	the amount of time between INSPECT job percent complete progress updates	10s	default
sql.inspect.index_consistency_hash.enabled	true	b	f	if false, the index consistency check skips the hash precheck and always runs the full join	true	default
sql.inspect.processor_concurrency	0	i	f	sets the number of concurrent processors for INSPECT jobs. 0 uses the default based on GOMAXPROCS. Values above GOMAXPROCS are capped.	0	default
sql.inspect.uniqueness_check.complex_keys.enabled	false	b	f	if true, the uniqueness check is enabled for INSPECT jobs on indexes where the unique column does not immediately follow the region column	false	default
sql.instance_info.use_instance_resolver.enabled	true	b	f	use sqlinstance.InstanceInfo instead of NodeDescriptor for SQL instance lookups; enables proper handling of SQL instances in serverless environments	true	default
sql.internal_executor.attribute_to_user.enabled	true	b	f	controls whether internally-executed queries with the AttributeToUser override should actually be attributed to user or not	true	default
sql.internal_executor.rows_affected_retry_limit	5	i	f	limit on the number of retries that can be transparently performed by the InternalExecutor's Exec{Ex} methods	5	default
sql.internal_executor.session_overrides		s	f	comma-separated list of 'variable=value' pairs that change the corresponding session variables used by the InternalExecutor (performed on a best-effort basis)		default
sql.local_scans.concurrency_limit	1024	i	f	maximum number of additional goroutines for performing scans in local plans	1024	default
sql.log.admin_audit.enabled	false	b	f	when set, log SQL queries that are executed by a user with admin privileges	false	default
sql.log.redact_names.enabled	false	b	t	if set, schema object identifers are redacted in SQL statements that appear in event logs	false	default
sql.log.scan_row_count_misestimate.enabled	false	b	t	when set to true, log a warning when a scan's actual row count differs significantly from the optimizer's estimate	false	default
sql.log.slow_query.experimental_full_table_scans.enabled	false	b	t	when set to true, statements that perform a full table/index scan will be logged to the slow query log even if they do not meet the latency threshold. Must have the slow query log enabled for this setting to have any effect.	false	default
sql.log.slow_query.internal_queries.enabled	false	b	t	when set to true, internal queries which exceed the slow query log threshold are logged to a separate log. Must have the slow query log enabled for this setting to have any effect.	false	default
sql.log.slow_query.latency_threshold	0s	d	t	when set to non-zero, log statements whose service latency exceeds the threshold to a secondary logger on each node	0s	default
sql.log.user_audit		s	t	user/role-based audit logging configuration		default
sql.log.user_audit.reduced_config.enabled	false	b	t	enables logic to compute a reduced audit configuration, computing the audit configuration only once at session start instead of at each SQL event. The tradeoff with the increase in performance (~5%), is that changes to the audit configuration (user role memberships/cluster setting) are not reflected within session. Users will need to start a new session to see these changes in their auditing behaviour.	false	default
sql.metrics.application_name.enabled	false	b	t	when enabled, SQL metrics would export application name as and additional label as part of child metrics. The number of unique label combinations is limited to 5000 by default.	false	default
sql.metrics.database_name.enabled	false	b	t	when enabled, SQL metrics would export database name as and additional label as part of child metrics. The number of unique label combinations is limited to 5000 by default.	false	default
sql.metrics.discarded_stats_log.interval	1m0s	d	f	interval between log emissions for discarded statistics due to SQL statistics memory limit	1m0s	default
sql.metrics.index_usage_stats.enabled	true	b	t	collect per index usage statistics	true	default
sql.metrics.max_mem_reported_stmt_fingerprints	100000	i	t	the maximum number of reported statement fingerprints stored in memory	100000	default
sql.metrics.max_mem_reported_txn_fingerprints	100000	i	t	the maximum number of reported transaction fingerprints stored in memory	100000	default
sql.metrics.max_mem_stmt_fingerprints	7500	i	t	the maximum number of statement fingerprints stored in memory	7500	default
sql.metrics.max_mem_txn_fingerprints	7500	i	t	the maximum number of transaction fingerprints stored in memory	7500	default
sql.metrics.statement_details.dump_to_logs.enabled	false	b	t	dump collected statement statistics to node logs when periodically cleared	false	default
sql.metrics.statement_details.enabled	true	b	t	collect per-statement query statistics	true	default
sql.metrics.statement_details.gateway_node.enabled	false	b	t	save the gateway node for each statement fingerprint. If false, the value will be stored as 0.	false	default
sql.metrics.statement_details.index_recommendation_collection.enabled	true	b	t	generate an index recommendation for each fingerprint ID	true	default
sql.metrics.statement_details.max_mem_reported_idx_recommendations	5000	i	t	the maximum number of reported index recommendation info stored in memory	5000	default
sql.metrics.statement_details.threshold	0s	d	t	minimum execution time to cause statement statistics to be collected. If configured, no transaction stats are collected.	0s	default
sql.metrics.transaction_details.enabled	true	b	t	collect per-application transaction statistics	true	default
sql.metrics.transaction_details.max_statement_ids	1000	i	f	max number of statement fingerprint IDs to store for transaction statistics	1000	default
sql.metrics.transaction_details.max_statement_stats	100000	i	f	max number of statement statistics that may be associated with transaction statistics	100000	default
sql.virtual_cluster.feature_access.multiregion.enabled	true	b	f	allow the use of multi-region abstractions and syntax in virtual clusters	true	default
sql.multiple_modifications_of_table.enabled	false	b	t	if true, allow statements containing multiple INSERT ON CONFLICT, UPSERT, UPDATE, or DELETE subqueries modifying the same table, at the risk of data corruption if the same row is modified multiple times by a single statement (multiple INSERT subqueries without ON CONFLICT cannot cause corruption and are always allowed)	false	default
sql.multiregion.drop_primary_region.enabled	true	b	t	allows dropping the PRIMARY REGION of a database if it is the last region	true	default
sql.multiregion.system_database_multiregion.enabled	false	b	f	enable option to set up system database as multi-region	false	default
sql.mutations.mutation_batch_byte_size	4.0 MiB	z	f	byte size - in key and value lengths -- for mutation batches	4.0 MiB	default
sql.notices.enabled	true	b	t	enable notices in the server/client protocol being sent	true	default
sql.optimizer.uniqueness_checks_for_gen_random_uuid.enabled	false	b	t	if enabled, uniqueness checks may be planned for mutations of UUID columns updated with gen_random_uuid(); otherwise, uniqueness is assumed due to near-zero collision probability	false	default
sql.override.allow_unsafe_internals.enabled	false	b	f	overrides the allow_unsafe_internals session variable behavior as a failsafe in case of emergencies. This setting should not be externally visible.	false	default
sql.pgwire.max_repeated_error_count	256	i	f	the maximum number of times an error can be received while reading from a network connection before the server aborts the connection	256	default
sql.prepared_transactions.unsafe.enabled	false	b	f	enables PREPARE TRANSACTION statements (two-phase commit). When a transaction is prepared, it holds its locks indefinitely and cannot be pushed. If the coordinator that initiated the prepare fails to follow up with COMMIT PREPARED or ROLLBACK PREPARED, those locks will be held potentially forever, even across restarts, until the transaction is manually resolved. Use with caution.	false	default
sql.query_cache.enabled	true	b	f	enable the query cache	true	default
sql.region_liveness.enabled	false	b	f	enables region liveness for system databases	false	default
sql.region_liveness.probe.timeout	15s	d	f	set the probing timeout for region liveness, which will be the maximum time a query to a region can take before it starts getting quarantined	15s	default
sql.restrict_system_interface.enabled	false	b	f	if enabled, certain statements produce errors or warnings when run from the system interface to encourage use of a virtual cluster	false	default
sql.revert.max_span_parallelism	8	i	f	the maximum number of workers used to issue RevertRange request	8	default
sql.virtual_cluster.feature_access.manual_range_scatter.enabled	true	b	f	enable the use of ALTER TABLE/INDEX ... SCATTER in virtual clusters	true	default
sql.schema.approx_max_object_count	20000	i	t	approximate maximum number of schema objects allowed in the cluster; the check uses cached statistics, so the actual count may slightly exceed this limit; set to 0 to disable	20000	default
sql.schema.auto_unlock.enabled	true	b	t	controls whether DDL operations will attempt to automatically unlock and re-lock schema_locked tables. When this setting is false, DDL on schema_locked tables is blocked unless the user manually unlocks the table first. The schema_locked storage parameter improves changefeed performance by locking the table's schema from the perspective of the changefeed.	true	default
sql.schema.force_declarative_statements		s	f	forcefully enable or disable declarative schema changer for specific statements		default
sql.schema.telemetry.recurrence	@weekly	s	t	cron-tab recurrence for SQL schema telemetry job	@weekly	default
sql.schema.test_object_generator.enabled	true	b	f	enable the generate_test_objects function	true	default
sql.schema.test_object_generator.non_admin.enabled	false	b	f	allow non-admin users to use the generate_test_objects function	false	default
sql.schema_changer.batch_flush_threshold_size	32 MiB	z	f	maximum size in bytes of the schema changer's metadata batch before it's flushed to the KV store. This setting should be smaller or equal to kv.raft.command.max_size	32 MiB	default
sql.schemachanger.strict_planning_sanity_check.enabled	false	b	f	enforce strict sanity checks in the declarative schema changer planner	false	default
sql.session_transfer.max_session_size	0 B	z	f	if set to non-zero, then serializing a session will fail if it requires morethan the specified size	0 B	default
sql.show_tables.estimated_row_count.enabled	true	b	f	whether the estimated_row_count is shown on SHOW TABLES. Turning this off will improve SHOW TABLES performance.	true	default
sql.spatial.experimental_box2d_comparison_operators.enabled	false	b	t	enables the use of certain experimental box2d comparison operators	false	default
sql.virtual_cluster.feature_access.manual_range_split.enabled	true	b	f	enable the use of ALTER TABLE/INDEX ... SPLIT AT in virtual clusters	true	default
sql.sqlcommenter.enabled	false	b	t	enables support for sqlcommenter. Key value parsed from sqlcommenter comments will be included in sql insights and sql logs. See https://google.github.io/sqlcommenter/ for more details.	false	default
sql.statement_bundle.include_all_references.enabled	false	b	f	controls whether all FK reference tables are included	false	default
sql.stats.activity.flush.enabled	true	b	f	enable the flush to the system statement and transaction activity tables	true	default
sql.stats.activity.persisted_rows.max	200000	i	t	maximum number of rows of statement and transaction activity that will be persisted in the system tables	200000	default
sql.stats.activity.top.max	500	i	f	the limit per column for the top number of statistics to be flushed to the activity tables	500	default
sql.stats.activity.ui.enabled	true	b	f	enable the combined statistics endpoint to get data from the system activity tables	true	default
sql.stats.aggregation.interval	1h0m0s	d	f	the interval at which we aggregate SQL execution statistics upon flush, this value must be greater than or equal to sql.stats.flush.interval	1h0m0s	default
sql.stats.associate_stmt_with_txn_fingerprint.enabled	true	b	f	whether to segment per-statement query statistics by transaction fingerprint	true	default
sql.stats.automatic_collection.enabled	true	b	t	automatic statistics collection mode	true	default
sql.stats.automatic_collection.fraction_stale_rows	0.2	f	t	target fraction of stale rows per table that will trigger a statistics refresh	0.2	default
sql.stats.automatic_collection.max_fraction_idle	0.9	f	f	maximum fraction of time that automatic statistics sampler processors are idle	0.9	default
sql.stats.automatic_collection.min_stale_rows	500	i	t	target minimum number of stale rows per table that will trigger a statistics refresh	500	default
sql.stats.automatic_extremes_concurrency_limit	128	i	t	determines the maximum number of concurrent automatic partial USING EXTREMES table statistics collection jobs	128	default
sql.stats.automatic_full_collection.enabled	true	b	t	automatic full statistics collection mode	true	default
sql.stats.automatic_full_concurrency_limit	2	i	t	determines the maximum number of concurrent automatic full table statistics collection jobs. The default value is computed as the number of vCPUs in a node divided by 2.	2	default
sql.stats.automatic_job_check_before_creating_job.enabled	true	b	f	set to true to perform the autostats job check before creating the job, instead of in the same transaction as creating the job	true	default
sql.stats.automatic_partial_collection.enabled	true	b	t	automatic partial statistics collection mode	true	default
sql.stats.automatic_partial_collection.fraction_stale_rows	0.05	f	t	target fraction of stale rows per table that will trigger a partial statistics refresh	0.05	default
sql.stats.automatic_partial_collection.min_stale_rows	100	i	t	target minimum number of stale rows per table that will trigger a partial statistics refresh	100	default
sql.stats.automatic_stats_job_auto_cleanup.enabled	true	b	f	set to true to enable automatic cleanup of completed AUTO CREATE STATISTICS jobs	true	default
sql.stats.automatic_stats_job_use_locks_table.enabled	true	b	f	set to true to enable the new mechanism of concurrency limiting via the system.table_statistics_locks table	true	default
sql.stats.canary_fraction	0	f	t	probability that table statistics will use canary mode instead of stable mode for query planning [0.0-1.0]	0	default
sql.stats.cleanup.recurrence	@hourly	s	t	cron-tab recurrence for SQL Stats cleanup job	@hourly	default
sql.stats.cleanup.rows_to_delete_per_txn	10000	i	f	number of rows the compaction job deletes from system table per iteration	10000	default
sql.stats.detailed_latency_metrics.enabled	false	b	t	label latency metrics with the statement fingerprint. Workloads with tens of thousands of distinct query fingerprints should leave this setting false. (experimental, affects performance for workloads with high fingerprint cardinality)	false	default
sql.stats.error_on_concurrent_create_stats.enabled	false	b	t	set to true to error on concurrent CREATE STATISTICS jobs, instead of skipping them	false	default
sql.stats.flush.batch_size	10	i	f	the number of rows to flush per upsert	10	default
sql.stats.flush.enabled	true	b	t	if set, SQL execution statistics are periodically flushed to disk	true	default
sql.stats.flush.force_cleanup.enabled	false	b	f	if set, older SQL stats are discarded periodically when flushing to persisted tables is disabled	false	default
sql.stats.flush.interval	10m0s	d	t	the interval at which SQL execution statistics are flushed to disk, this value must be less than or equal to 1 hour	10m0s	default
sql.stats.flush.jitter	0.15	f	f	jitter fraction on the duration between sql stats flushes	0.15	default
sql.stats.flush.minimum_interval	0s	d	f	the minimum interval that SQL stats can be flushes to disk. If a flush operation starts within less than the minimum interval, the flush operation will be aborted	0s	default
sql.stats.forecasts.enabled	true	b	t	when true, enables generation of statistics forecasts by default for all tables	true	default
sql.stats.forecasts.max_decrease	0.3333333333333333	f	t	the most a prediction is allowed to decrease, expressed as the minimum ratio of the prediction to the lowest prior observation	0.3333333333333333	default
sql.stats.forecasts.min_goodness_of_fit	0.95	f	t	the minimum R² (goodness of fit) measurement required from all predictive models to use a forecast	0.95	default
sql.stats.forecasts.min_observations	3	i	t	the mimimum number of observed statistics required to produce a statistics forecast	3	default
sql.stats.garbage_collection_interval	1h0m0s	d	f	interval between deleting stats for dropped tables, set to 0 to disable	1h0m0s	default
sql.stats.garbage_collection_limit	1000	i	f	limit on the number of dropped tables that stats are deleted for as part of a single statement	1000	default
sql.stats.histogram_buckets.count	200	i	t	maximum number of histogram buckets to build during table statistics collection	200	default
sql.stats.histogram_buckets.include_most_common_values.enabled	true	b	t	whether to include most common values as histogram buckets	true	default
sql.stats.histogram_buckets.max_fraction_most_common_values	0.1	f	t	maximum fraction of histogram buckets to use for most common values	0.1	default
sql.stats.histogram_collection.enabled	true	b	t	histogram collection mode	true	default
sql.stats.histogram_samples.count	0	i	t	number of rows sampled for histogram construction during table statistics collection. Not setting this or setting a value of 0 means that a reasonable sample size will be automatically picked based on the table size.	0	default
sql.stats.histogram_samples.max	300000	i	f	maximum sample size to be selected when sample size is automatically determined	300000	default
sql.stats.histogram_samples.min	10000	i	f	minimum sample size to be selected when sample size is automatically determined	10000	default
sql.stats.limit_table_size.enabled	true	b	f	controls whether we allow statement and transaction statistics tables to grow past sql.stats.persisted_rows.max	true	default
sql.stats.limit_table_size_check.interval	1h0m0s	d	f	controls what interval the check is done if the statement and transaction statistics tables have grown past sql.stats.persisted_rows.max	1h0m0s	default
sql.stats.max_timestamp_age	5m0s	d	f	maximum age of timestamp during table statistics collection	5m0s	default
sql.stats.multi_column_collection.enabled	true	b	t	multi-column statistics collection mode	true	default
sql.stats.non_default_columns.min_retention_period	24h0m0s	d	t	minimum retention period for table statistics collected on non-default columns	24h0m0s	default
sql.stats.non_indexed_json_histograms.enabled	false	b	t	set to true to collect table statistics histograms on non-indexed JSON columns	false	default
sql.stats.persisted_insights.ui.enabled	false	b	f	enable the insights endpoint to get data from the persisted insights tables	false	default
sql.stats.persisted_rows.max	1000000	i	t	maximum number of rows of statement and transaction statistics that will be persisted in the system tables before compaction begins	1000000	default
sql.stats.post_events.enabled	false	b	t	if set, an event is logged for every successful CREATE STATISTICS job	false	default
sql.stats.response.max	20000	i	t	the maximum number of statements and transaction stats returned in a CombinedStatements request	20000	default
sql.stats.response.show_internal.enabled	false	b	t	controls if statistics for internal executions should be returned by the CombinedStatements and if internal sessions should be returned by the ListSessions endpoints. These endpoints are used to display statistics on the SQL Activity pages	false	default
sql.stats.statement_fingerprint.format_mask	805306368	i	f	enables setting additional fmt flags for statement fingerprint formatting. Flags set here will be applied in addition to FmtHideConstants	805306368	default
sql.stats.system_tables.enabled	true	b	t	when true, enables use of statistics on system tables by the query optimizer	true	default
sql.stats.system_tables_autostats.enabled	true	b	t	when true, enables automatic collection of statistics on system tables	true	default
sql.stats.virtual_computed_columns.enabled	true	b	t	set to true to collect table statistics on virtual computed columns	true	default
sql.stmt_diagnostics.bundle_chunk_size	1.0 MiB	z	f	chunk size for statement diagnostic bundles	1.0 MiB	default
sql.stmt_diagnostics.collect_continuously.enabled	true	b	f	deprecated: continuous collection is now the default behavior when sampling_probability and expires_at are set; this setting will be removed in a future version	true	default
sql.stmt_diagnostics.in_flight_trace_collector.poll_interval	0s	d	f	determines the interval between polling done by the in-flight trace collector for the statement bundle, set to zero to disable	0s	default
sql.stmt_diagnostics.max_bundles_per_request	10	i	f	maximum number of diagnostic bundles to collect per continuous request	10	default
sql.stmt_diagnostics.timeout_trace_collection.enabled	true	b	f	determines whether the in-flight trace collection is performed when building the statement bundle if the timeout is detected	true	default
sql.tablecache.lease.refresh_limit	500	i	f	maximum number of descriptors to periodically refresh leases for	500	default
sql.telemetry.capture_index_usage_stats.check_enabled_interval	10m0s	d	f	the scheduled interval time between checks to see if index usage statistics has been enabled	10m0s	default
sql.telemetry.capture_index_usage_stats.enabled	true	b	f	enable/disable capturing index usage statistics to the telemetry logging channel	true	default
sql.telemetry.capture_index_usage_stats.interval	8h0m0s	d	f	the scheduled interval time between capturing index usage statistics when capturing index usage statistics is enabled	8h0m0s	default
sql.telemetry.capture_index_usage_stats.logging_delay	500ms	d	f	the time delay between emitting individual index usage stats logs, this is done to mitigate the log-line limit of 10 logs per second on the telemetry pipeline	500ms	default
sql.telemetry.query_sampling.enabled	false	b	t	when set to true, executed queries will emit an event on the telemetry logging channel	false	default
sql.telemetry.query_sampling.internal.enabled	false	b	t	when set to true, internal queries will be sampled in telemetry logging	false	default
sql.telemetry.query_sampling.internal_console.enabled	true	b	f	when set to true, all internal queries used to populated the UI Consolewill be logged into telemetry	true	default
sql.telemetry.query_sampling.max_event_frequency	8	i	t	the max event frequency (events per second) at which we sample executions for telemetry, note that it is recommended that this value shares a log-line limit of 10 logs per second on the telemetry pipeline with all other telemetry events. If sampling mode is set to 'transaction', this value is ignored.	8	default
sql.telemetry.query_sampling.mode	statement	e	t	the execution level used for telemetry sampling. If set to 'statement', events are sampled at the statement execution level. If set to 'transaction', events are sampled at the transaction execution level, i.e. all statements for a transaction will be logged and are counted together as one sampled event (events are still emitted one per statement). [statement = 0, transaction = 1]	statement	default
sql.telemetry.transaction_sampling.max_event_frequency	8	i	t	the max event frequency (events per second) at which we sample transactions for telemetry. If sampling mode is set to 'statement', this setting is ignored. In practice, this means that we only sample a transaction if 1/max_event_frequency seconds have elapsed since the last transaction was sampled.	8	default
sql.telemetry.transaction_sampling.statement_events_per_transaction.max	50	i	t	the maximum number of statement events to log for every sampled transaction. Note that statements that are logged by force do not adhere to this limit.	50	default
sql.temp_object_cleaner.cleanup_interval	30m0s	d	t	how often to clean up orphaned temporary objects	30m0s	default
sql.temp_object_cleaner.wait_interval	30m0s	d	t	how long after creation a temporary object will be cleaned up	30m0s	default
sql.explain_analyze.include_ru_estimation.enabled	true	b	f	determines whether EXPLAIN ANALYZE should return an estimate for the query's RU consumption	true	default
sql.log.all_statements.enabled	false	b	t	set to true to enable logging of all executed statements	false	default
sql.trace.stmt.enable_threshold	0s	d	t	enables tracing on all statements; statements executing for longer than this duration will have their trace logged (set to 0 to disable); note that enabling this may have a negative performance impact; this setting applies to individual statements within a transaction and is therefore finer-grained than sql.trace.txn.enable_threshold	0s	default
sql.trace.txn.enable_threshold	0s	d	t	enables transaction traces for transactions exceeding this duration, used with `sql.trace.txn.sample_rate`	0s	default
sql.trace.txn.include_internal.enabled	true	b	t	enables tracing internal transactions as well as external workload using sample rate and threshold settings	true	default
sql.trace.txn.jaeger_json_output.enabled	false	b	t	enables Jaeger JSON output for transaction traces in logs	false	default
sql.trace.txn.sample_rate	1	f	t	enables probabilistic transaction tracing. It should be used in conjunction with `sql.trace.txn.enable_threshold`. A percentage of transactions between 0 and 1.0 will have tracing enabled, and only those which exceed the configured threshold will be logged.	1	default
sql.schema.preserved_split_count_multiple	4	i	f	set to non-zero to cause TRUNCATE and index backfills to preserve range splits from the table's indexes or copy them from the primary index. The multiple given will be multiplied with the number of nodes in the cluster to produce the number of preserved range splits. This can improve performance when truncating or backfilling an index from a table with significant write traffic.	4	default
sql.ttl.changefeed_replication.disabled	false	b	t	if true, deletes issued by TTL will not be replicated via changefeeds (this setting will be ignored by changefeeds that have the ignore_disable_changefeed_replication option set; such changefeeds will continue to replicate all TTL deletes)	false	default
sql.ttl.checkpoint_interval	30s	d	f	the amount of time between row-level TTL checkpoint updates	30s	default
sql.ttl.default_delete_batch_size	100	i	t	default amount of rows to delete in a single query during a TTL job	100	default
sql.ttl.default_delete_rate_limit	100	i	t	default delete rate limit (rows per second) per node for each TTL job. Use 0 to signify no rate limit.	100	default
sql.ttl.default_select_batch_size	500	i	t	default amount of rows to select in a single query during a TTL job	500	default
sql.ttl.default_select_rate_limit	0	i	t	default select rate limit (rows per second) per node for each TTL job. Use 0 to signify no rate limit.	0	default
sql.ttl.fraction_update_interval	10s	d	f	the amount of time between row-level TTL percent complete progress updates	10s	default
sql.ttl.job.enabled	true	b	t	whether the TTL job is enabled	true	default
sql.ttl.max_kv_auto_retries	10	i	f	the number of times a TTL operation will automatically retry in the KV layer before reducing the batch size	10	default
sql.ttl.processor_concurrency	0	i	f	override for the TTL job processor concurrency (0 means use default based on GOMAXPROCS, and any value greater than GOMAXPROCS will be capped at GOMAXPROCS)	0	default
sql.ttl.replan_flow_frequency	2m0s	d	f	how frequently the TTL job checks whether to replan its physical execution flow	2m0s	default
sql.ttl.replan_flow_threshold	0.1	f	f	the fraction of flow instances that must change (added or updated) before the TTL job is replanned; set to 0 to disable	0.1	default
sql.ttl.replan_stability_window	2	i	f	number of consecutive replan evaluations required before triggering a replan; set to 1 to disable stability window	2	default
sql.txn.read_committed_isolation.enabled	true	b	t	set to true to allow transactions to use the READ COMMITTED isolation level if specified by BEGIN/SET commands	true	default
sql.txn.repeatable_read_isolation.enabled	false	b	t	set to true to allow transactions to use the REPEATABLE READ isolation level if specified by BEGIN/SET commands	false	default
sql.txn.write_buffering_for_weak_isolation.enabled	false	b	f	set to true to allow write buffering for transactions at weak isolation levels	false	default
sql.txn_fingerprint_id_cache.capacity	100	i	t	the maximum number of txn fingerprint IDs stored	100	default
sql.txn_stats.sample_rate	0.01	f	f	the probability that a given transaction will collect execution statistics (displayed in the DB Console)	0.01	default
sql.vecindex.deterministic_fixups.enabled	false	b	f	set to true to make all background index operations deterministic, for testing	false	default
sql.vecindex.stalled_op.timeout	100ms	d	t	amount of time before other vector index workers will assist with a stalled background fixup	100ms	default
sql.virtual_cluster.feature_access.zone_configs_unrestricted.enabled	true	b	f	enable unrestricted usage of ALTER CONFIGURE ZONE in virtual clusters	true	default
sql.virtual_cluster.feature_access.zone_configs.enabled	true	b	f	enable the use of ALTER CONFIGURE ZONE in virtual clusters	true	default
sql.zone_configs.default_range_modifiable_by_non_root.enabled	true	b	f	if true, allows non-root users to modify zone config for the default range	true	default
sql.zone_configs.max_replicas_per_region	0	i	f	the maximum number of replicas that can be configured per region (0 for unlimited); this is only enforced on new zone config modifications	0	default
sqladmission.elastic_cpu.duration_per_low_pri_read_response	100ms	d	f	controls how many CPU tokens are allotted for handling responses for internally submitted low priority reads	100ms	default
sqladmission.low_pri_read_response_elastic_control.enabled	true	b	f	determines whether the sql portion of internally submitted reads integrate with elastic CPU controller	true	default
storage.baseline_deletion_rate	134217728	i	f	the baseline allowed rate of bytes deleted per second by each store	134217728	default
storage.block_load.node_max_active	7500	i	f	maximum number of outstanding sstable block reads per host	7500	default
storage.compaction_concurrency	1	i	f	the baseline number of concurrent compactions	1	default
storage.delete_compaction_excise.enabled	true	b	t	set to false to direct Pebble to not partially excise sstables in delete-only compactions	true	default
storage.deprecated_compensated_score.enabled	false	b	f	if enabled, this setting reverts the storage engine's compaction picking heuristic	false	default
storage.ingest_as_flushable.enabled	true	b	f	set to true to enable lazy ingestion of sstables	true	default
storage.ingest_split.enabled	true	b	t	set to false to disable ingest-time splitting that lowers write-amplification	true	default
storage.ingestion.value_blocks.enabled	true	b	t	set to true to enable writing of value blocks in ingestion sstables	true	default
storage.max_compaction_concurrency	0	i	f	the maximum number of concurrent compactions (0 = default); the default value is min(3,numCPUs-1) or what the COCKROACH_CONCURRENT_COMPACTIONS env var specifies; the env var also takes precedence over the cluster setting when the latter is lower	0	default
storage.max_download_compaction_concurrency	8	i	f	the maximum number of concurrent download compactions	8	default
storage.max_sync_duration	20s	d	t	maximum duration for disk operations; any operations that take longer than this setting trigger a warning log entry or process crash	20s	default
storage.max_sync_duration.fatal.enabled	true	b	t	if true, fatal the process when a disk operation exceeds storage.max_sync_duration	true	default
storage.multi_level_compaction_write_amp_heuristic.enabled	true	b	f	enables multi-level compactions using the write amplification heuristic	true	default
storage.mvcc.max_conflicts_per_lock_conflict_error	5000	i	f	maximum number of locks returned in errors during evaluation	5000	default
storage.mvcc.target_bytes_per_lock_conflict_error	8388608	i	f	maximum total lock size returned in errors during evaluation	8388608	default
storage.readahead_mode.informed	fadv-sequential	e	f	the readahead mode for operations which are known to read through large chunks of data; sys-readahead performs explicit prefetching via the readahead syscall; fadv-sequential lets the OS perform prefetching via fadvise(FADV_SEQUENTIAL) [off = 0, sys-readahead = 1, fadv-sequential = 2]	fadv-sequential	default
storage.readahead_mode.speculative	fadv-sequential	e	f	the readahead mode that is used automatically when sequential reads are detected; sys-readahead performs explicit prefetching via the readahead syscall; fadv-sequential starts with explicit prefetching via the readahead syscall then automatically switches to OS-driven prefetching via fadvise(FADV_SEQUENTIAL) [off = 0, sys-readahead = 1, fadv-sequential = 2]	fadv-sequential	default
storage.snapshot.recreate_iter_duration	20s	d	f	the interval after which a storage iterator over a snapshot should be recreated, to reduce memory usage caused by zombie memtables	20s	default
storage.sstable.compression_algorithm	fastest	e	t	determines the compression algorithm to use for Pebble stores [snappy = 1, zstd = 2, none = 3, minlz = 4, fastest = 5, balanced = 6, good = 7, fast = 8]	fastest	default
storage.sstable.compression_algorithm_backup_storage	fastest	e	t	determines the compression algorithm to use when compressing sstable data blocks for backup row data storage (fast,balanced,good are experimental); [snappy = 1, zstd = 2, none = 3, minlz = 4, fastest = 5, fast = 6, balanced = 7, good = 8]	fastest	default
storage.sstable.compression_algorithm_backup_transport	fastest	e	t	determines the compression algorithm to use when compressing sstable data blocks for backup transport (fast,balanced,good are experimental); [snappy = 1, zstd = 2, none = 3, minlz = 4, fastest = 5, fast = 6, balanced = 7, good = 8]	fastest	default
storage.table_filters	uniform	e	f	table filter configuration: uniform = 10bpk bloom filters on all levels; progressive = bloom filters with level-dependent size [uniform = 0, progressive = 1, progressive_binaryfuse = 2]	uniform	default
storage.tombstone_dense_compaction_threshold	10	i	f	percentage of tombstone-dense data blocks that trigger a compaction (0 = disabled)	10	default
storage.transaction.local_timestamps.enabled	true	b	f	if enabled, MVCC keys will be written with local timestamps	true	default
storage.unhealthy_write_duration	20s	d	t	duration for disk write operations, beyond which the disk will be reported as unhealthy for higher layer actions	20s	default
storage.value_separation.compaction_garbage_threshold	10	i	f	the max garbage threshold configures the percentage of unreferenced value bytes that begin to trigger blob-file rewrite compactions; 100 disables these compactions	10	default
storage.value_separation.compaction_garbage_threshold_high_priority	20	i	f	configures the percentage of unreferenced value bytes that trigger high-priority blob-file rewrite compactions	20	default
